Clean_Runs,Mins,Balls_Faced,Fours,Sixes,Strike_Rate,Position,Dismissal,Inns,Opposition,Ground,Start_Date,Year
12.0,33,22,1,0,54.54,2,lbw,1,v Sri Lanka,Dambulla,18-Aug-08,2008
37.0,82,67,6,0,55.22,2,caught,2,v Sri Lanka,Dambulla,20-Aug-08,2008
25.0,40,38,4,0,65.78,1,run out,1,v Sri Lanka,Colombo (RPS),24-Aug-08,2008
54.0,87,66,7,0,81.81,1,bowled,1,v Sri Lanka,Colombo (RPS),27-Aug-08,2008
31.0,45,46,3,1,67.39,1,lbw,2,v Sri Lanka,Colombo (RPS),29-Aug-08,2008
,6,2,0,0,100.0,7,not out,1,v Sri Lanka,Colombo (RPS),14-Sep-09,2009
30.0,53,41,3,0,73.17,4,caught,2,v Australia,Vadodara,25-Oct-09,2009
10.0,32,16,1,0,62.5,3,caught,2,v Australia,Mohali,2-Nov-09,2009
27.0,20,19,4,0,142.1,7,bowled,1,v Sri Lanka,Rajkot,15-Dec-09,2009
54.0,93,65,7,0,83.07,4,lbw,1,v Sri Lanka,Nagpur,18-Dec-09,2009
107.0,-,114,11,1,93.85,4,caught,2,v Sri Lanka,Kolkata,24-Dec-09,2009
91.0,136,102,7,0,89.21,3,caught,2,v Bangladesh,Dhaka,7-Jan-10,2010
,128,95,11,0,107.36,3,not out,2,v Bangladesh,Dhaka,11-Jan-10,2010
31.0,-,46,1,0,67.39,5,caught,1,v South Africa,Jaipur,21-Feb-10,2010
57.0,-,71,4,1,80.28,3,caught,2,v South Africa,Ahmedabad,27-Feb-10,2010
0.0,3,0,0,0,,3,run out,1,v Zimbabwe,Bulawayo,28-May-10,2010
18.0,28,29,1,0,62.06,3,caught,1,v Zimbabwe,Harare,3-Jun-10,2010
10.0,13,14,1,0,71.42,3,caught,1,v Sri Lanka,Dambulla,22-Jun-10,2010
28.0,57,34,4,0,82.35,3,caught,1,v Sri Lanka,Dambulla,24-Jun-10,2010
0.0,5,3,0,0,0.0,3,caught,2,v Sri Lanka,Dambulla,16-Aug-10,2010
